Sch_Date,Sch_ItemCode,Sch_PlanQty,Sch_BatchNo,Sch_ActulQty,weight,Time
01-06-2022,N723J22,540,010622101,550,752,21
01-06-2022,N723J22,540,010622102,550,747,21
01-06-2022,N723J22,540,010622103,550,749,21
01-06-2022,N723J22,540,010622104,514,700,20
01-06-2022,N723J22,540,010622105,550,741,21
01-06-2022,N723J22,540,010622106,550,743,21
01-06-2022,N723J22,540,010622107,550,753,21
01-06-2022,N723J22,540,010622108,517,708,25
01-06-2022,F728I22,540,010622109,550,725,24
01-06-2022,F728I22,540,010622110,550,709,25
01-06-2022,F728I22,540,010622111,550,716,35
01-06-2022,F728I22,540,010622112,520,677,26
01-06-2022,FA22GDP,275,010622113,226,275,16
01-06-2022,FA22GDP,275,010622114,353,417,36
02-06-2022,N723J22,540,020622101,550,748,21
02-06-2022,N723J22,540,020622102,551,740,21
02-06-2022,N723J22,540,020622103,550,755,21
02-06-2022,N723J22,540,020622104,530,722,18
04-06-2022,FA22GDP,275,040622101,275,315,14
04-06-2022,FA22GDP,275,040622102,275,308,25
04-06-2022,FA22GDP,275,040622103,215,221,16
10-06-2022,F728I22,540,100622101,551,734,18
10-06-2022,F728I22,540,100622102,550,701,27
10-06-2022,F728I22,540,100622103,550,697,27
10-06-2022,F728I22,540,100622104,386,513,19
10-06-2022,N723J22,540,100622105,551,761,18
10-06-2022,N723J22,540,100622106,550,755,18
10-06-2022,N723J22,540,100622107,550,766,18
10-06-2022,N723J22,540,100622108,532,742,21
10-06-2022,N723J22,540,100622109,551,732,17
10-06-2022,N723J22,540,100622110,551,751,17
10-06-2022,N723J22,540,100622111,550,754,20
10-06-2022,N723J22,540,100622112,517,711,61
11-06-2022,FA22GDP,275,110622101,275,298,12
11-06-2022,FA22GDP,275,110622102,255,319,12
11-06-2022,F728I22,540,110622103,551,696,20
11-06-2022,F728I22,540,110622104,550,714,17
11-06-2022,F728I22,540,110622105,551,729,17
11-06-2022,F728I22,540,110622106,491,651,28
